Ensembl_GeneID	GeneSymbol	DCMvsControl_male_logFC	DCMvsControl_male_P.Value	DCMvsControl_male_adj.P.Val	DCMvsControl_female_logFC	DCMvsControl_female_P.Value	DCMvsControl_female_adj.P.Val
ENSG00000132561	MATN2	1.49008456302363	3.82473885212026e-48	4.96761863036944e-45	1.29814645483143	2.93156179782796e-35	1.53349696093659e-32
ENSG00000181195	PENK	3.44504016790225	6.99219749043732e-44	4.68725342092832e-41	3.19619906616247	2.94731884102595e-35	1.53349696093659e-32
ENSG00000179639	FCER1A	2.66825210260423	9.1231320159599e-35	2.43061290286747e-32	2.88469819200775	2.95172890801519e-35	1.53349696093659e-32
ENSG00000096060	FKBP5	-2.02672953538485	1.45342957006957e-33	3.08201223424649e-31	-2.23614731854259	3.91533462370801e-35	1.98450167842137e-32
ENSG00000139329	LUM	2.09296857630062	3.3418505627556e-49	4.6297997696416e-46	1.7913808542835	4.12949806263995e-35	2.04321664856478e-32
ENSG00000197852	INKA2	-0.999101972927336	6.63908556726387e-37	2.22527156731146e-34	-1.03396801255153	5.60045946404115e-35	2.70658484005207e-32
ENSG00000100450	GZMH	2.47052387902821	2.30350053464821e-28	2.58751592489321e-26	2.99798644024136	1.59710754680285e-34	7.54306634775226e-32
ENSG00000254636	ARMS2	2.73739162453013	3.62079048951724e-36	1.16142256092576e-33	2.82928552723566	3.31968758518296e-34	1.53303172683749e-31
ENSG00000161570	NA	2.02515727058236	8.5779030255415e-27	8.02961273755756e-25	2.526803198133	4.14080606581805e-34	1.87065414899489e-31
ENSG00000198768	APCDD1L	3.13645927771398	1.21388628112034e-42	6.81777589404374e-40	2.90041858886721	4.78640517651267e-34	2.11630395687468e-31
ENSG00000213694	S1PR3	-1.34801098327875	3.1107525002637e-40	1.43654550462178e-37	-1.2950064783286	5.08284364834396e-34	2.20055362200491e-31
ENSG00000166482	MFAP4	1.82181090702013	1.53376047676105e-52	2.89755240614285e-49	1.4560348907199	6.93157897623759e-34	2.93969678990191e-31
ENSG00000171385	KCND3	-1.05241275514634	9.34616681094484e-31	1.39728555754133e-28	-1.19899725894351	7.14178330503217e-34	2.96826797723747e-31
ENSG00000152086	TUBA3E	-3.0348762586524	2.16654776255009e-45	1.73165496359821e-42	-2.65087685148614	2.95085625817639e-33	1.20238713531693e-30
ENSG00000075886	TUBA3D	-2.94439011523478	1.35277478661235e-42	7.39789811594504e-40	-2.67877136178376	3.75485788442998e-33	1.50057118646807e-30
ENSG00000196821	ILRUN	-0.562153213951245	3.90548023595124e-32	6.99653317097437e-30	-0.610903685128145	7.37714500320342e-33	2.89253679833151e-30
ENSG00000129244	ATP1B2	1.24088544211982	9.50154710088929e-31	1.41036893073986e-28	1.37751058534037	1.62003057064546e-32	6.23441764603393e-30
ENSG00000130592	LSP1	1.62682154159891	7.01414368927035e-28	7.51344948488285e-26	1.91982655703605	1.6883091213468e-32	6.29611941153918e-30
ENSG00000183801	OLFML1	1.25024424493765	4.46733384629769e-39	1.8946054012227e-36	1.18906045964224	1.69665890499107e-32	6.29611941153918e-30
ENSG00000182179	UBA7	0.816747767357409	1.22820753754628e-27	1.26353370483907e-25	0.963363873102674	3.39790633346603e-32	1.23880511431154e-29
ENSG00000111452	ADGRD1	-0.977286648842972	3.60083776419611e-28	4.00155131431868e-26	-1.13858125279232	3.56657605039278e-32	1.27787960177952e-29
ENSG00000149633	KIAA1755	1.41164346495401	5.35532842523673e-26	4.52905189413804e-24	1.7257823565177	4.39170580428086e-32	1.54684810709764e-29
ENSG00000166033	HTRA1	0.992961111780476	7.50053582160585e-34	1.69422429248686e-31	1.02633276107265	5.34989743087053e-32	1.85293697518201e-29
ENSG00000143768	LEFTY2	3.10952387811242	1.07472903483361e-51	1.8611620060731e-48	2.4224102323058	5.59501461438291e-32	1.90606555248346e-29
ENSG00000133800	LYVE1	-1.89824328565881	1.6162058197064e-35	4.73047509004489e-33	-1.89817821902947	6.88535333020201e-32	2.30781496056336e-29
ENSG00000233098	CCDC144NL-AS1	2.598743515194	6.98434502236511e-48	8.06342632832051e-45	2.12939415555227	7.49491289054884e-32	2.47225055203961e-29
ENSG00000228109	MELTF-AS1	1.60146697474286	1.60717006549724e-28	1.83508797423617e-26	1.83903171793226	7.76251743948318e-32	2.52051367046719e-29
ENSG00000154027	AK5	1.73369155249247	4.43862953195803e-32	7.8836889148393e-30	1.84588023965355	9.17612520389457e-32	2.93367781326359e-29
ENSG00000136436	CALCOCO2	-0.709206277237788	6.38655124431482e-33	1.28853321755443e-30	-0.740070923181527	1.38847340578714e-31	4.37179785540343e-29
ENSG00000174083	NA	1.16386818276692	4.06926305986882e-23	2.42301878645083e-21	1.50991689307302	1.97258692977644e-31	6.11825805786331e-29
ENSG00000106819	ASPN	2.20957140674981	7.64403963749939e-43	4.41252188074652e-40	1.92923820767767	2.88734899398688e-31	8.82382344765315e-29
ENSG00000168077	SCARA3	1.47352989093602	1.12287803494742e-37	4.09377692004252e-35	1.39195206399024	5.78221879120347e-31	1.74145345942028e-28
ENSG00000111684	LPCAT3	-0.812876593825896	1.06666611642144e-39	4.81878012290302e-37	-0.741534399757128	6.21258533164714e-31	1.84433908252799e-28
ENSG00000162383	SLC1A7	2.66054894718758	2.09632132062609e-29	2.67261677079329e-27	2.93470850849392	8.55251410191206e-31	2.50323655706809e-28
ENSG00000187922	LCN10	-3.04567475042107	4.49668609901788e-36	1.37420049740721e-33	-2.94748728850112	9.12489421730743e-31	2.63367259347036e-28
ENSG00000142920	AZIN2	1.39403410940938	1.32521509881536e-38	5.29601826316963e-36	1.28945771853038	1.02758658818398e-30	2.92524340945909e-28
ENSG00000163145	C1QTNF7	1.91643385414443	2.38000065892666e-49	3.53277097808249e-46	1.5004386218636	1.24444941865489e-30	3.49471667149556e-28
ENSG00000101187	SLCO4A1	-2.55370135657852	5.64742128228699e-44	4.0468641954209e-41	-2.14628278482097	2.92150809628727e-30	8.09491463319276e-28
ENSG00000101825	MXRA5	2.87800902894566	5.97931102352989e-44	4.14186874599916e-41	2.4186501399031	3.07449302234498e-30	8.40671572333567e-28
ENSG00000273259		-2.41210621124708	1.96527452493292e-34	4.86194879793225e-32	-2.37700824266842	3.42706207847525e-30	9.24906195490832e-28
ENSG00000114631	PODXL2	1.03120650228205	7.99775192561349e-22	4.05368982356522e-20	1.34846650887486	4.21880687024179e-30	1.12398750731403e-27
ENSG00000099968	BCL2L13	-0.642085749283678	1.79639560068155e-29	2.33318106111021e-27	-0.694855411057263	6.05556025153021e-30	1.59291895679809e-27
ENSG00000160310	PRMT2	0.586936352419606	1.50247015429742e-38	5.89110042951977e-36	0.53362574602262	7.65450817237739e-30	1.98835417912718e-27
ENSG00000143595	AQP10	2.45144896445225	1.83248427579293e-40	9.06687041315542e-38	2.14741134854822	1.36437410245936e-29	3.50037755842073e-27
ENSG00000128606	LRRC17	1.56320548628342	1.80400924779582e-31	3.02331582084233e-29	1.60901114046096	1.55948459928243e-29	3.9521523728888e-27
ENSG00000105894	PTN	1.59495120805896	5.67242402018284e-39	2.35757287126839e-36	1.42921344410658	1.69887235000002e-29	4.25352606088558e-27
ENSG00000134817	APLNR	1.67871890730295	1.46981367929377e-25	1.17477684882322e-23	1.95648457928796	2.97166813654792e-29	7.33132154824168e-27
ENSG00000253250	C8orf88	-0.872249080701659	1.3921411170977e-28	1.59834721295068e-26	-0.948152731858887	2.99871195611637e-29	7.33132154824168e-27
ENSG00000246100	LINC00900	1.42385446576935	1.92831025137951e-31	3.2057772267134e-29	1.45178399303142	4.58409032504466e-29	1.10769745400876e-26
ENSG00000140459	CYP11A1	1.55767829654403	5.64805510136191e-28	6.08146285292237e-26	1.70775024050538	5.06992101472303e-29	1.2110118230685e-26
ENSG00000142973	CYP4B1	-2.45927384841735	9.69387901496113e-29	1.1381271175701e-26	-2.64677900810902	6.01984558694443e-29	1.42157285388968e-26
ENSG00000105374	NKG7	1.94326451905052	5.09251772050216e-19	1.82147350688047e-17	2.69009052063508	7.59161437792995e-29	1.73561395117713e-26
ENSG00000186160	CYP4Z1	-2.18026487152027	1.06928366126979e-28	1.24138456786857e-26	-2.34352530103773	7.60001053622735e-29	1.73561395117713e-26
ENSG00000124713	GNMT	-2.60366528476075	7.63638304943163e-35	2.06093085909401e-32	-2.47433323113501	7.60025357572391e-29	1.73561395117713e-26
ENSG00000175220	ARHGAP1	0.687565157519009	7.01854382986629e-34	1.60277317943353e-31	0.663352678839903	1.03353285838866e-28	2.33454851414942e-26
ENSG00000196684	HSH2D	1.79936147104287	4.69355097007694e-23	2.72448834383154e-21	2.19303914840182	2.17277876478828e-28	4.8551091947382e-26
ENSG00000129009	ISLR	1.71385308477029	2.32499287197634e-25	1.80957591282922e-23	1.9678391942549	2.40488208042348e-28	5.31658026737025e-26
ENSG00000123572	NRK	1.75840729994066	2.08944103417795e-37	7.35943629343255e-35	1.57523136003921	3.00745901690837e-28	6.57873745582872e-26
ENSG00000086717	PPEF1	-2.32533220691451	1.96799069017169e-27	1.96619300636816e-25	-2.53266057980123	3.65223939564095e-28	7.90595696675151e-26
ENSG00000180773	SLC36A4	-0.859528049867524	1.30172108325535e-23	8.40095212146878e-22	-1.02645393420304	3.93763023544592e-28	8.43586535286616e-26
ENSG00000005844	ITGAL	1.59797297406011	4.56097255702414e-26	3.93284525757339e-24	1.79386898562838	4.26642426710878e-28	9.04699619334567e-26
ENSG00000267206	LCN6	-2.64927178513863	1.81425970571625e-36	5.98446522928402e-34	-2.39978705094428	5.27151303274707e-28	1.10653850841936e-25
ENSG00000159640	ACE	1.85149107623052	2.9855856793691e-27	2.91283830999856e-25	2.01622619029436	5.69534871573196e-28	1.18355041661626e-25
ENSG00000011105	TSPAN9	0.818335826146134	1.81776337948631e-24	1.31162988851059e-22	0.952291307915779	5.94590965755917e-28	1.22338562964096e-25
ENSG00000156475	PPP2R2B	2.14893649766863	7.48395498190876e-36	2.22177240684351e-33	1.96441529422716	6.40918773629699e-28	1.30577774850968e-25
ENSG00000135114	OASL	1.76447805371378	3.44399507641296e-26	3.00712864214024e-24	1.96429642053709	7.49420075814633e-28	1.51200957237902e-25
ENSG00000103528	SYT17	1.43074156010948	4.08548512550139e-39	1.76875971652176e-36	1.23333417694461	7.820727087791e-28	1.5627166308787e-25
ENSG00000165511	ZNF22-AS1	0.775353911743277	1.03726062810721e-30	1.5287456108295e-28	0.780041294213166	8.81891531486193e-28	1.74538932531567e-25
ENSG00000173597	SULT1B1	-1.87824627004693	1.43282053795478e-24	1.0521358162275e-22	-2.1707546905583	9.21294316894991e-28	1.80617143390517e-25
ENSG00000165209	STRBP	-0.739940163961602	2.86096902128642e-23	1.73841512372377e-21	-0.883487653504524	1.00869317418542e-27	1.95903297689226e-25
ENSG00000115604	IL18R1	-1.58929098437482	7.30765554466423e-31	1.13328649159453e-28	-1.59061520280028	1.09009653134921e-27	2.09752740907111e-25
ENSG00000139289	PHLDA1	1.73004497829532	4.39951120745668e-43	2.61217835434735e-40	1.39340665070693	1.16167084759539e-27	2.21474145723668e-25
ENSG00000157601	MX1	0.904905543299602	1.21533468768143e-19	4.66836786408646e-18	1.19623755829435	1.20009782667317e-27	2.26720299419047e-25
ENSG00000180644	PRF1	1.67799869956579	4.88647120206366e-22	2.58386152799198e-20	2.06497288164256	1.38958684004879e-27	2.60153190297784e-25
ENSG00000157368	IL34	1.35750378576167	4.19856632314238e-20	1.72091532073416e-18	1.76606150661787	1.45297196009569e-27	2.69591163417398e-25
ENSG00000112149	CD83	1.33271522295892	1.44012751576724e-27	1.47425073424429e-25	1.42753876583067	1.47670851930801e-27	2.71570617165838e-25
ENSG00000235505	CASP4LP	0.86426897087326	4.67011064950862e-22	2.48208617410329e-20	1.06071435877145	1.73011268305661e-27	3.15381330408767e-25
ENSG00000158481	CD1C	2.06969937644545	6.49696744572191e-24	4.34126946911727e-22	2.40890631301235	2.45852642404104e-27	4.44266414069538e-25
ENSG00000259419	HNRNPCP3	1.31406056312032	3.5958238377776e-21	1.68299133272199e-19	1.64760317407578	2.50913828297961e-27	4.49503471194821e-25
ENSG00000149575	SCN2B	1.44346197912053	1.39660893366092e-32	2.68730835651923e-30	1.38397505549934	2.59041385566666e-27	4.60097353287254e-25
ENSG00000156414	TDRD9	-1.74443856473382	2.98020219732393e-33	6.0717237120185e-31	-1.64672712951272	3.35089992648956e-27	5.90127554003216e-25
ENSG00000020181	ADGRA2	0.742521216993461	7.44124249519674e-26	6.16414745611744e-24	0.819601775561837	3.99394259311816e-27	6.97463201912508e-25
ENSG00000129450	SIGLEC9	-1.68474424068963	6.7395907878348e-35	1.84283468634204e-32	-1.53836093919297	4.2095837620129e-27	7.28994667986584e-25
ENSG00000111666	CHPT1	-0.688859671901101	4.58078872072025e-28	5.03668626483003e-26	-0.721247985951651	4.77098557796142e-27	8.19387200790217e-25
ENSG00000004468	CD38	-1.41125636260598	9.51586653747815e-28	9.92912626224665e-26	-1.48322350356985	6.64155504883483e-27	1.13129635631014e-24
ENSG00000267577	DNAAF3-AS1	2.24873247872843	1.00826733835992e-34	2.65225361499463e-32	2.04808437399143	7.51073111199509e-27	1.26894718079976e-24
ENSG00000145649	GZMA	1.75890655928788	6.64650467702458e-24	4.42695556709128e-22	2.022453938555	8.5120916293824e-27	1.42653045282416e-24
ENSG00000100453	GZMB	1.92766707948536	5.53128371870876e-20	2.21049244150936e-18	2.47141178853785	9.09425069091418e-27	1.5119009888631e-24
ENSG00000158023	CFAP251	1.1398421678254	6.92940767352238e-26	5.78313336801079e-24	1.24526967055825	1.03563278434843e-26	1.7080543564718e-24
ENSG00000182132	KCNIP1	2.18358382676132	2.86960764885922e-29	3.61414039702687e-27	2.2081936203043	1.10473660791323e-26	1.80767964165708e-24
ENSG00000135750	KCNK1	-1.18114375207449	8.53825101768108e-23	4.87454380215468e-21	-1.39191948476936	1.33989852289282e-26	2.17534618783092e-24
ENSG00000114654	EFCC1	1.32001711422832	1.51941193483209e-21	7.37731294807141e-20	1.60928876919715	1.41714836947763e-26	2.28292715241199e-24
ENSG00000164483	SAMD3	1.72130293324824	1.72983030887293e-23	1.09931509629016e-21	1.98660639156234	1.70762450402636e-26	2.72970344755167e-24
ENSG00000144857	BOC	1.01301582589899	2.56741195594816e-26	2.29971499381718e-24	1.08781471658974	2.05850600319236e-26	3.25976423176049e-24
ENSG00000152463	OLAH	-2.27465678625607	1.6693942319242e-27	1.68406221036975e-25	-2.37635063376776	2.07058793413399e-26	3.25976423176049e-24
ENSG00000231298	MANCR	-1.46440765853792	7.51389410672903e-18	2.3234306905149e-16	-1.99295205994654	2.16664020601389e-26	3.38533459557703e-24
ENSG00000267653		-2.39033686738865	3.50441760961315e-24	2.41944526064355e-22	-2.69568467973258	2.84934816555037e-26	4.41882867375389e-24
ENSG00000091831	ESR1	1.52501046617186	2.14656021340471e-38	8.26067922125247e-36	1.28276699245357	3.06905320818103e-26	4.72429590512666e-24
ENSG00000198624	CCDC69	-0.665547505619138	6.87680035704059e-30	9.21979278836519e-28	-0.655285209286628	4.16439802927762e-26	6.32913040250016e-24
ENSG00000116962	NID1	-1.07320673328499	8.82765909896593e-30	1.16845594736058e-27	-1.05905829910358	4.17251751668602e-26	6.32913040250016e-24
ENSG00000128262	POM121L9P	-1.54348320199152	9.15592498571105e-34	2.02414124604321e-31	-1.40630815637646	4.21504064664011e-26	6.34730142592957e-24
ENSG00000145990	GFOD1	-0.557809296353723	1.00016563431318e-15	2.31969219270784e-14	-0.808349028341324	8.28005548216028e-26	1.2378980789552e-23
ENSG00000198821	CD247	1.27234174018378	4.73639722434101e-20	1.91492355484495e-18	1.59080013956292	8.60812905614574e-26	1.2777537851126e-23
ENSG00000126878	AIF1L	-0.897522446936449	3.87044720367964e-29	4.78760496069444e-27	-0.891098934245177	8.68722117043151e-26	1.28034853292721e-23
ENSG00000101347	SAMHD1	-1.00703530831522	1.28153685605638e-30	1.862350867532e-28	-0.967531497824172	1.01643532831546e-25	1.48750299702278e-23
ENSG00000129116	PALLD	-1.05769441264656	5.34294070494946e-25	4.03751457416562e-23	-1.15293132176082	1.05013027068608e-25	1.52606693392499e-23
ENSG00000112280	COL9A1	1.91841891486114	7.79290646837326e-28	8.30484047791101e-26	1.95245001138762	1.2603597118833e-25	1.81885660921158e-23
ENSG00000103404	USP31	-0.728935287382194	6.18264020283849e-17	1.72227139484164e-15	-1.00535451073804	1.2955738561258e-25	1.85678071063105e-23
ENSG00000162881	OXER1	1.74297414710074	5.64692618523392e-29	6.78316607256336e-27	1.7282867223372	1.37701030265404e-25	1.9599761027023e-23
ENSG00000263257		-1.76958423431382	3.09697380895085e-19	1.15337298788186e-17	-2.25482292563139	1.56840817216335e-25	2.21721702215828e-23
ENSG00000053702	NRIP2	1.10232515300956	8.77352622027499e-25	6.55836864688973e-23	1.20147300002365	1.76137760669906e-25	2.47318838140629e-23
ENSG00000084636	COL16A1	1.37087009414749	2.53479948772148e-23	1.55385451782714e-21	1.5465652404732	2.32473637968311e-25	3.24230514806676e-23
ENSG00000147872	PLIN2	-1.28686039495527	1.16441540832788e-31	1.98341939348046e-29	-1.19891913250242	2.52671268076125e-25	3.50050774792664e-23
ENSG00000110492	MDK	1.91328214494465	1.50913989698381e-23	9.67945561704338e-22	2.14187513945132	2.76144646548784e-25	3.80037211915912e-23
ENSG00000139626	ITGB7	1.13207698191704	1.21055203648461e-20	5.28852144477471e-19	1.37114286311654	3.26838747405249e-25	4.46844474330821e-23
ENSG00000121005	CRISPLD1	2.63986707016668	2.1712560190936e-35	6.18094127846357e-33	2.28370371256377	3.32138794645859e-25	4.51122633433699e-23
ENSG00000174899	SLC66A1L	-1.40477651970557	2.09864147950051e-21	1.00488176464286e-19	-1.66122128185856	3.88299258552589e-25	5.2397707090788e-23
ENSG00000106809	OGN	1.95872350928488	2.55386545932784e-31	4.14624047736655e-29	1.82521442376396	4.72834616901042e-25	6.339339466981e-23
ENSG00000069702	TGFBR3	-0.769979650103307	3.53635521095038e-17	1.01785315289141e-15	-1.03678064163994	5.52356930885278e-25	7.35803165431216e-23
ENSG00000160299	PCNT	-0.988892356278207	4.42452271466693e-29	5.34569805427288e-27	-0.963769715195278	5.6425547162232e-25	7.46865793362002e-23
ENSG00000082684	SEMA5B	1.07514411362638	5.50842963524873e-26	4.6344403340123e-24	1.12061041468806	7.47141325725172e-25	9.82679993031317e-23
ENSG00000165272	AQP3	-1.6376668795253	3.66226314995097e-29	4.55721500114557e-27	-1.58645108524198	8.38718033563744e-25	1.09618864499926e-22
ENSG00000144560	VGLL4	0.371271471978945	2.32954671687195e-26	2.09568442958078e-24	0.382706168646246	9.18074333844532e-25	1.19240642072645e-22
ENSG00000137752	CASP1	0.544084761508213	9.76906374293371e-16	2.27081558883563e-14	0.768104039636004	9.36258090934038e-25	1.20847076942238e-22
ENSG00000162882	HAAO	1.50063074834577	6.49622770660181e-25	4.89123579604682e-23	1.59891846333885	1.08443991610002e-24	1.39109542570831e-22
ENSG00000103316	CRYM	1.28751905464063	1.52189755960327e-27	1.55032123461351e-25	1.28599248473279	1.34712828942936e-24	1.7101510602957e-22
ENSG00000108788	MLX	-0.55232393617737	1.83440778890933e-32	3.4343088523716e-30	-0.497418819244393	1.3496211630263e-24	1.7101510602957e-22
ENSG00000234664	HMGN2P5	0.924801016712506	1.49793041369466e-26	1.37244951482819e-24	0.944888856441089	1.36966419884385e-24	1.72502980098025e-22
ENSG00000244734	HBB	3.19387984895593	2.42532141333558e-24	1.72015714302139e-22	3.44071815587549	1.47250361443221e-24	1.84337937418769e-22
ENSG00000136160	EDNRB	-1.3853873556692	5.36137224367431e-26	4.52905189413804e-24	-1.43100057092558	1.6718040993547e-24	2.08034496938264e-22
ENSG00000135821	GLUL	-0.811476577242948	2.05292290090257e-22	1.12861880432953e-20	-0.918267040783366	1.68667394897995e-24	2.08635543653288e-22
ENSG00000172458	IL17D	1.542567500382	4.32514946641807e-29	5.25619479892596e-27	1.48238795584069	2.02205741644653e-24	2.48641273202221e-22
ENSG00000260065	NA	-0.956043465734014	6.29142618305473e-22	3.25229172910598e-20	-1.09418320763514	2.04263754265938e-24	2.49694416317674e-22
ENSG00000198033	TUBA3C	-2.70820297461766	1.78443279953895e-32	3.37111800065627e-30	-2.42718760460926	2.05877816460413e-24	2.50195725372154e-22
ENSG00000136514	RTP4	0.791367559017017	9.40399118554117e-17	2.55123160348213e-15	1.0651849002773	2.30596864106406e-24	2.78606594941583e-22
ENSG00000077274	CAPN6	2.62692214471852	3.68276668884924e-24	2.52126897234256e-22	2.82711465520799	2.45733004323481e-24	2.95177893806143e-22
ENSG00000071242	RPS6KA2	-0.636572850801063	1.90856083825584e-23	1.19463261384924e-21	-0.697690330182423	2.50974179997169e-24	2.9821485200847e-22
ENSG00000100206	DMC1	1.62327054249577	2.06589793123645e-43	1.26268896791249e-40	1.20120625429033	2.51131317556818e-24	2.9821485200847e-22
ENSG00000156535	CD109	-0.971482623083338	6.55369678122414e-21	2.98013944881004e-19	-1.14180851402995	2.54843529255284e-24	3.0090360121898e-22
ENSG00000110400	NECTIN1	-0.985916338332283	2.32269896981757e-24	1.65301394834859e-22	-1.05305931876483	3.0769573620846e-24	3.61255655036611e-22
ENSG00000102316	MAGED2	0.514183746776814	2.6992874421903e-24	1.90148787580192e-22	0.549697238910788	3.29294757430584e-24	3.8444237944747e-22
ENSG00000135678	CPM	-1.45800624828127	7.71807899674751e-26	6.33950196171581e-24	-1.49919521762124	3.56265750653558e-24	4.13606623705675e-22
ENSG00000143942	CHAC2	-1.46646845022182	2.03342018083709e-31	3.32728384078548e-29	-1.3333158236121	3.76528402025838e-24	4.3470204013883e-22
ENSG00000157152	SYN2	-1.82265456527284	4.91375958821438e-20	1.97893096904424e-18	-2.18840658271627	3.89904224740217e-24	4.47657441675495e-22
ENSG00000240654	C1QTNF9	1.11255159709009	4.32038806965203e-14	8.11038703481832e-13	1.65293090652468	3.92780867670984e-24	4.48482374234655e-22
